file,smell,model,strategy,total_evaluated,tp,fp,fn,tn,precision,recall,f1
ollama_results_blob_llama3_1-8b_Casual.json,blob,llama3_1-8b,Casual,175,32,134,0,9,0.1928,1.0,0.3232
ollama_results_blob_llama3_1-8b_Confirmation-Bias.json,blob,llama3_1-8b,Confirmation-Bias,175,32,135,0,8,0.1916,1.0,0.3216
ollama_results_blob_llama3_1-8b_Contradictory-Hint.json,blob,llama3_1-8b,Contradictory-Hint,175,21,23,11,120,0.4773,0.6562,0.5526
ollama_results_blob_llama3_1-8b_False-Premise.json,blob,llama3_1-8b,False-Premise,175,32,131,0,12,0.1963,1.0,0.3282
ollama_results_blob_llama3_1-8b_Positive.json,blob,llama3_1-8b,Positive,175,32,143,0,0,0.1829,1.0,0.3092
ollama_results_data_class_llama3_1-8b_Casual.json,data class,llama3_1-8b,Casual,175,45,130,0,0,0.2571,1.0,0.4091
ollama_results_data_class_llama3_1-8b_Confirmation-Bias.json,data class,llama3_1-8b,Confirmation-Bias,175,43,118,2,12,0.2671,0.9556,0.4175
ollama_results_data_class_llama3_1-8b_Contradictory-Hint.json,data class,llama3_1-8b,Contradictory-Hint,175,26,45,19,85,0.3662,0.5778,0.4483
ollama_results_data_class_llama3_1-8b_False-Premise.json,data class,llama3_1-8b,False-Premise,175,45,128,0,2,0.2601,1.0,0.4128
ollama_results_data_class_llama3_1-8b_Positive.json,data class,llama3_1-8b,Positive,175,45,130,0,0,0.2571,1.0,0.4091
ollama_results_feature_envy_llama3_1-8b_Casual.json,feature envy,llama3_1-8b,Casual,175,32,141,1,1,0.185,0.9697,0.3107
ollama_results_feature_envy_llama3_1-8b_Confirmation-Bias.json,feature envy,llama3_1-8b,Confirmation-Bias,175,31,126,2,16,0.1975,0.9394,0.3263
ollama_results_feature_envy_llama3_1-8b_Contradictory-Hint.json,feature envy,llama3_1-8b,Contradictory-Hint,175,21,68,12,74,0.236,0.6364,0.3443
ollama_results_feature_envy_llama3_1-8b_False-Premise.json,feature envy,llama3_1-8b,False-Premise,175,32,138,1,4,0.1882,0.9697,0.3153
ollama_results_feature_envy_llama3_1-8b_Positive.json,feature envy,llama3_1-8b,Positive,175,33,142,0,0,0.1886,1.0,0.3173
ollama_results_long_method_llama3_1-8b_Casual.json,long method,llama3_1-8b,Casual,175,24,136,0,15,0.15,1.0,0.2609
ollama_results_long_method_llama3_1-8b_Confirmation-Bias.json,long method,llama3_1-8b,Confirmation-Bias,175,24,126,0,25,0.16,1.0,0.2759
ollama_results_long_method_llama3_1-8b_Contradictory-Hint.json,long method,llama3_1-8b,Contradictory-Hint,175,17,38,7,113,0.3091,0.7083,0.4304
ollama_results_long_method_llama3_1-8b_False-Premise.json,long method,llama3_1-8b,False-Premise,175,23,131,1,20,0.1494,0.9583,0.2584
ollama_results_long_method_llama3_1-8b_Positive.json,long method,llama3_1-8b,Positive,175,24,145,0,6,0.142,1.0,0.2487
